Gene	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
METTL3	11.3541095668	9.2151104644	17.8554949334	18.2498323313	9.88742239637	14.8953011999	5.89521485829	11.6802526221	36.3874183494	9.45676065956	3.3194279857	20.9695802853	22.0912411231	4.75902558873	33.0389162787	3.99797809543	15.8710170699	10.8928066926	4.85197944369	16.638031039	37.7782440291	6.36121736407	18.2070675521	18.8491435075	5.2607368192	15.8030755453	4.14016926563	19.8254861092	11.9436711337	3.44980702171	5.75345221068	9.24677303491	13.0148228044	13.8736253742	15.1972125745	8.41543544281	17.873478981	18.0033994958	14.9724735032	7.97374686249	27.2453676375	22.3617254325	14.9592156607	14.2370724699	2.83338431442
METTL14	9.608581258	9.39863597659	11.8083324745	13.0125125129	7.75602973278	7.88995423537	4.81608833887	5.84558284634	8.84611830772	2.90723474451	5.06724008269	4.8811290596	12.0657276429	4.69326835616	9.30948001837	4.49631175631	11.1462827428	9.69188072539	6.03423107773	9.43406669046	7.2514624257	5.70452060311	14.4852625377	9.29645234488	5.19876037892	8.20310602831	6.82452154802	15.0712099212	9.58402288297	6.90025298486	4.78538612277	5.46770902032	6.33983260152	4.89317015497	6.18787810339	6.54391601626	13.6193550359	13.2751848183	9.55301639962	5.35881428085	5.42154369236	19.917527379	7.18546010271	10.488368393	5.2037976055
WTAP	34.2330910338	19.9450233672	37.5666501767	43.0165669284	61.6460253234	24.3061485073	24.0824901075	22.3075423942	51.7209353714	13.9023816634	6.95825643601	24.2614261216	44.9894537939	12.3972903803	64.008462265	15.3629705722	29.7039271611	21.6397917778	12.4572734346	28.6430412949	54.4157607801	14.2469240121	29.2807422072	27.6739706585	9.63400784765	34.5350838758	9.79539007389	28.3660170826	38.0545661017	7.94801514299	16.1283707766	35.9540426781	25.8201204372	28.7547216698	24.7251949444	15.9295307908	30.5664827522	55.8232874736	35.5498506223	22.680520992	20.9880110578	46.9551893107	29.4326117194	69.1400340304	9.09053806576
KIAA1429	15.7556953833	14.9184890541	14.1891021347	19.0320295639	20.5240042062	12.4866488271	10.6107181415	13.2341212284	10.041448888	7.61798995096	3.97719492927	7.71806768085	18.0005161561	4.58143987095	25.362898824	4.76369896966	24.9523241595	26.8037497989	5.18288307533	24.7295679484	13.5136561057	5.62171806453	30.7393423586	22.2264251553	4.36291698033	22.644403258	5.58865137865	19.6103886767	13.2458463901	4.86608248766	7.92656493303	8.21926664432	8.02435955894	14.2466686268	13.212551028	7.86281181367	14.125896059	26.0325513653	24.9623649522	16.3919124603	41.4026315601	20.8591850325	18.5635673648	16.0839635964	4.2272740931
RBM15	4.76257775504	5.35436228953	6.67000107628	14.6214156849	9.4546775327	10.3678222754	10.0618879413	8.5447952245	13.1112065825	5.6886174733	2.27341925238	5.14694961794	10.9560348205	2.71716243286	15.5389048088	4.82803602506	8.18064068173	9.25794474645	3.20217223282	10.051043337	11.0230942288	3.92911071786	9.02216787988	9.93688842086	2.23999268259	8.91660520477	3.28478492026	12.4301429369	6.46648259851	3.15708096151	3.90791688232	5.40399905608	6.5332977515	5.40881165218	6.35415568116	4.62131208448	9.04918389303	14.3017829964	8.87604407399	5.61660687398	5.69843894877	9.39326950273	9.39256463615	5.96679861322	2.61890151161
RBM15B	28.011385322	20.6984604855	38.285730884	20.4857964299	35.2353346133	20.665682844	25.9260829488	22.0286468948	23.610478493	25.9036844406	5.11020747066	23.9649594967	42.0809022551	8.38038854949	24.9452841563	10.6022746157	28.6687387753	19.2194816536	8.33431824882	26.1567348651	42.6387552317	8.63891599417	33.6968830587	28.9889949406	6.73692076054	31.6550696538	6.66283629344	31.7853376491	28.1223886645	7.49582810699	21.8229554236	26.3078276494	8.42039998643	24.2946137289	21.9637131912	27.3009994096	31.5321621248	35.3040579022	42.3927186622	27.9726264813	47.9243032805	39.4615804335	25.0567617885	41.8630600972	6.87098394183
ZC3H13	16.9938990265	21.4708361545	26.6885281572	25.4690176996	19.4574475944	18.0754083852	7.2869251928	17.9226188601	10.8446245932	9.97113338638	10.8666980851	9.13075214375	40.1933532189	7.33019238216	18.0264451104	9.91446413281	15.4919061702	13.9416714662	7.620678126	38.3916596908	23.9724316214	16.4273573708	21.9440122516	13.5446606325	8.89466243958	27.7441454719	9.36585007273	20.0295823655	7.32203075893	6.2502507333	10.6919070442	8.63096345289	43.0184269207	41.8856306478	13.4764219919	13.7969289701	29.2607768164	31.1657985727	36.7266368428	22.3475359191	28.3233950983	34.0506985737	17.1170274224	19.8007699212	20.9198178781
RBMX	58.0610114411	82.5244446768	68.1001710785	73.4123754268	107.95991722	64.859612641	80.6320461621	63.2161997061	85.9437245112	39.6937569336	9.86825220721	77.8835605563	133.786988114	16.7914966418	132.461887385	16.1302152483	100.35176447	65.9420402503	22.4963150126	123.986686987	103.20746838	19.4241375348	127.788635986	84.255200014	17.0273932644	84.8831755299	14.2275140692	96.3119051458	70.7243714093	16.0653774948	55.3758841724	55.365607828	35.4097047834	112.598348576	75.9642533564	51.9861063354	97.2235658457	112.020128365	151.672392643	88.2680631845	101.206373019	75.111149481	69.3530778972	87.1126512534	11.1645979151
YTHDC1	28.1195181025	41.4074162161	39.6394403172	37.3784208215	34.6503195318	31.6595545999	20.3886681122	22.2545275733	39.4215987437	31.2207254625	7.13360947402	20.8222464254	54.164521201	9.51840209368	35.8375323996	12.8172929972	57.4470437328	37.12477167	12.9289577999	29.528667217	31.2572685108	12.9423744852	50.5375950182	37.8812049009	11.0082006719	41.4920639333	10.6192623101	43.7014990903	34.2886854159	9.35423721485	19.3972089899	15.7965932729	11.8803964363	35.6071868628	34.0110313338	28.8745398499	52.7942397483	50.9037574313	38.2351582622	17.8824567873	60.06067297	45.3285520573	30.5402674467	27.7947550305	9.19207855195
YTHDC2	7.03896717229	6.80919279162	14.6752593493	6.75763716623	16.0540021401	7.76771778418	3.40223997089	9.27795602134	10.5907549731	5.72795416468	3.13765604776	11.4598994175	13.1308898472	2.56590926695	19.0857106019	5.83580781671	12.3261400585	9.34337360502	3.56940784352	24.4250208247	8.68477690082	5.48523133657	24.2337666435	10.2715284609	3.21889556884	15.479594446	4.74627029012	23.2039143811	8.95307314259	4.81213347847	5.47062906116	6.98740654026	8.61387863393	10.1556644059	9.65040058922	6.56654994659	11.2382956639	15.3371401547	20.0550161221	14.7970355853	11.1786757262	23.031746103	13.6526167333	6.58789355025	3.86909698352
